order_id,created_at,sku,quantity,price
10001,2026-05-30 09:12:00,SKN-SERUM-30ML,2,45.00
10002,2026-05-30 11:45:00,SKN-TONER-200ML,1,28.00
10003,2026-05-31 08:22:00,SKN-SERUM-30ML,1,45.00
10004,2026-05-31 14:10:00,SKN-SERUM-30ML,3,45.00
10005,2026-06-01 10:05:00,SKN-TONER-200ML,2,28.00
10006,2026-06-01 15:33:00,SKN-SERUM-30ML,1,45.00
10007,2026-06-02 09:00:00,SKN-SERUM-30ML,2,45.00
10008,2026-06-02 13:22:00,SKN-TONER-200ML,1,28.00
10009,2026-06-03 11:11:00,SKN-SERUM-30ML,4,45.00
10010,2026-06-03 16:45:00,SKN-SERUM-30ML,1,45.00
